Iteration,Duration_Seconds
1,5.4721
2,0.0573
3,0.0558
4,0.0561
5,0.0562
6,0.0548
7,0.0560
8,0.0588
9,0.0567
10,0.0576
11,0.0604
12,0.0567
13,0.0560
14,0.0566
15,0.0572
16,0.0567
17,0.0558
18,0.0564
19,0.0553
20,0.0562
21,0.0559
22,0.0564
23,0.0545
24,0.0554
25,0.0569
26,0.0566
27,0.0557
28,0.0560
29,0.0563
30,0.0556
31,0.0548
32,0.0555
33,0.0541
34,0.0546
35,0.0554
36,0.0562
37,0.0555
38,0.0553
39,0.0554
40,0.0542
41,0.0539
42,0.0544
43,0.0557
44,0.0567
45,0.0543
46,0.0572
47,0.0563
48,0.0563
49,0.0572
50,0.0558
51,0.0558
52,0.0558
53,0.0562
54,0.0547
55,0.0555
56,0.0561
57,0.0558
58,0.0549
59,0.0555
60,0.0554
61,0.0549
62,0.0566
