cell_id,i_n,i_log_eta,i_log_sy,i_W,i_H,n_lo,n_hi,log_eta_lo,log_eta_hi,log_sy_lo,log_sy_hi,W_lo,W_hi,H_lo,H_hi,current_n,target_n,priority_mult,deficit,est_particles,est_cost,machine_id
0,0,0,0,0,0,0.3,0.44000000019999996,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,0,165,3,165,184409.77542510902,30427612.945142988,0
1,1,0,0,0,0,0.44000000019999996,0.5800000004,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,0,165,3,165,184409.77542510902,30427612.945142988,0
2,2,0,0,0,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,42,165,3,123,184409.77542510902,22682402.37728841,0
3,3,0,0,0,0,0.7200000006,0.8600000007999999,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,72,165,3,93,184409.77542510902,17150109.114535138,0
4,4,0,0,0,0,0.8600000007999999,1.000000001,-0.3298939212610904,0.8768413581223679,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,0,165,3,165,184409.77542510902,30427612.945142988,0
5,0,1,0,0,0,0.3,0.44000000019999996,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,16,165,3,149,184409.77542510902,27477056.538341243,0
7,2,1,0,0,0,0.5800000004,0.7200000006,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,36,165,3,129,184409.77542510902,23788861.029839065,0
8,3,1,0,0,0,0.7200000006,0.8600000007999999,0.8768413581223679,2.0835766375058262,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,28,165,3,137,184409.77542510902,25264139.233239938,0
12,2,2,0,0,0,0.5800000004,0.7200000006,2.0835766375058262,3.2903119168892845,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,39,110,2,71,184409.77542510902,13093094.05518274,0
13,3,2,0,0,0,0.7200000006,0.8600000007999999,2.0835766375058262,3.2903119168892845,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,29,110,2,81,184409.77542510902,14937191.80943383,0
15,0,3,0,0,0,0.3,0.44000000019999996,3.2903119168892845,4.497047196272742,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,73,110,2,37,184409.77542510902,6823161.690729034,0
17,2,3,0,0,0,0.5800000004,0.7200000006,3.2903119168892845,4.497047196272742,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,41,110,2,69,184409.77542510902,12724274.504332522,0
18,3,3,0,0,0,0.7200000006,0.8600000007999999,3.2903119168892845,4.497047196272742,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,42,110,2,68,184409.77542510902,12539864.728907414,0
19,4,3,0,0,0,0.8600000007999999,1.000000001,3.2903119168892845,4.497047196272742,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,64,110,2,46,184409.77542510902,8482849.669555016,0
21,1,4,0,0,0,0.44000000019999996,0.5800000004,4.497047196272742,5.703782475656201,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,73,110,2,37,184409.77542510902,6823161.690729034,0
24,4,4,0,0,0,0.8600000007999999,1.000000001,4.497047196272742,5.703782475656201,-5.809142990314028,-3.842375067243693,2.0,3.6666666670000003,2.0,3.6666666670000003,105,110,2,5,184409.77542510902,922048.8771255452,0
25,0,0,1,0,0,0.3,0.44000000019999996,-0.3298939212610904,0.8768413581223679,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,40,165,3,125,184409.77542510902,23051221.92813863,0
27,2,0,1,0,0,0.5800000004,0.7200000006,-0.3298939212610904,0.8768413581223679,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,66,165,3,99,184409.77542510902,18256567.767085794,0
28,3,0,1,0,0,0.7200000006,0.8600000007999999,-0.3298939212610904,0.8768413581223679,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,70,165,3,95,184409.77542510902,17518928.665385358,0
30,0,1,1,0,0,0.3,0.44000000019999996,0.8768413581223679,2.0835766375058262,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,42,165,3,123,184409.77542510902,22682402.37728841,0
33,3,1,1,0,0,0.7200000006,0.8600000007999999,0.8768413581223679,2.0835766375058262,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,65,165,3,100,184409.77542510902,18440977.5425109,0
34,4,1,1,0,0,0.8600000007999999,1.000000001,0.8768413581223679,2.0835766375058262,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,56,165,3,109,184409.77542510902,20100665.521336883,0
35,0,2,1,0,0,0.3,0.44000000019999996,2.0835766375058262,3.2903119168892845,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,76,110,2,34,184409.77542510902,6269932.364453707,0
37,2,2,1,0,0,0.5800000004,0.7200000006,2.0835766375058262,3.2903119168892845,-3.842375067243693,-1.8756071441733577,2.0,3.6666666670000003,2.0,3.6666666670000003,57,110,2,53,184409.77542510902,9773718.097530778,0
